,provinsi,tahun,jenis,jumlah RTP
467,RIAU,2014,Laut,14764
468,SULAWESI BARAT,2014,Laut,12088
469,SULAWESI SELATAN,2014,Laut,36642
470,SULAWESI TENGAH,2014,Laut,50855
471,SULAWESI TENGGARA,2014,Laut,27119
472,SULAWESI UTARA,2014,Laut,19500
473,SUMATERA BARAT,2014,Laut,12185
474,SUMATERA SELATAN,2014,Laut,7358
475,SUMATERA UTARA,2014,Laut,43085
476,ACEH,2015,Laut,18640
477,BALI,2015,Laut,16624
478,BANTEN,2015,Laut,8138
479,BENGKULU,2015,Laut,7576
480,DAERAH ISTIMEWA YOGYAKARTA,2015,Laut,1980
481,DKI JAKARTA,2015,Laut,3256
482,GORONTALO,2015,Laut,8035
483,JAMBI,2015,Laut,2365
484,JAWA BARAT,2015,Laut,13558
485,JAWA TENGAH,2015,Laut,21526
486,JAWA TIMUR,2015,Laut,60631
487,KALIMANTAN BARAT,2015,Laut,1595
488,KALIMANTAN SELATAN,2015,Laut,11805
489,KALIMANTAN TENGAH,2015,Laut,5616
490,KALIMANTAN TIMUR,2015,Laut,22262
491,KALIMANTAN UTARA,2015,Laut,5900
492,KEPULAUAN BANGKA BELITUNG,2015,Laut,8595
493,KEPULAUAN RIAU,2015,Laut,23869
494,LAMPUNG,2015,Laut,6729
495,MALUKU,2015,Laut,52121
496,MALUKU UTARA,2015,Laut,3465
497,NUSA TENGGARA BARAT,2015,Laut,25461
498,NUSA TENGGARA TIMUR,2015,Laut,24981
499,PAPUA,2015,Laut,12277
500,PAPUA BARAT,2015,Laut,13636
501,RIAU,2015,Laut,14329
502,SULAWESI BARAT,2015,Laut,12083
503,SULAWESI SELATAN,2015,Laut,28370
504,SULAWESI TENGAH,2015,Laut,26055
505,SULAWESI TENGGARA,2015,Laut,25503
506,SULAWESI UTARA,2015,Laut,18138
507,SUMATERA BARAT,2015,Laut,11954
508,SUMATERA SELATAN,2015,Laut,2871
509,SUMATERA UTARA,2015,Laut,44062
510,ACEH,2016,Laut,18716
511,BALI,2016,Laut,4762
512,BANTEN,2016,Laut,8595
513,BENGKULU,2016,Laut,7575
514,DAERAH ISTIMEWA YOGYAKARTA,2016,Laut,2278
515,DKI JAKARTA,2016,Laut,2212
516,GORONTALO,2016,Laut,8033
517,JAMBI,2016,Laut,2649
518,JAWA BARAT,2016,Laut,15332
519,JAWA TENGAH,2016,Laut,82123
520,JAWA TIMUR,2016,Laut,36612
521,KALIMANTAN BARAT,2016,Laut,10631
522,KALIMANTAN SELATAN,2016,Laut,63099
523,KALIMANTAN TENGAH,2016,Laut,5137
524,KALIMANTAN TIMUR,2016,Laut,22065
525,KALIMANTAN UTARA,2016,Laut,5920
526,KEPULAUAN BANGKA BELITUNG,2016,Laut,11889
527,KEPULAUAN RIAU,2016,Laut,23893
528,LAMPUNG,2016,Laut,8042
529,MALUKU,2016,Laut,52122
530,MALUKU UTARA,2016,Laut,3799
531,NUSA TENGGARA BARAT,2016,Laut,25093
532,NUSA TENGGARA TIMUR,2016,Laut,24981
533,PAPUA,2016,Laut,10993
534,PAPUA BARAT,2016,Laut,13610
535,RIAU,2016,Laut,12790
536,SULAWESI BARAT,2016,Laut,13001
537,SULAWESI SELATAN,2016,Laut,39836
538,SULAWESI TENGAH,2016,Laut,34331
539,SULAWESI TENGGARA,2016,Laut,33356
540,SULAWESI UTARA,2016,Laut,19112
541,SUMATERA BARAT,2016,Laut,11637
542,SUMATERA SELATAN,2016,Laut,2848
543,SUMATERA UTARA,2016,Laut,46177
544,ACEH,2017,Laut,18718
545,BALI,2017,Laut,4928
546,BANTEN,2017,Laut,8617
547,BENGKULU,2017,Laut,7580
548,DAERAH ISTIMEWA YOGYAKARTA,2017,Laut,2281
549,DKI JAKARTA,2017,Laut,3008
550,GORONTALO,2017,Laut,8059
551,JAMBI,2017,Laut,2649
552,JAWA BARAT,2017,Laut,15523
553,JAWA TENGAH,2017,Laut,82571
554,JAWA TIMUR,2017,Laut,36671
555,KALIMANTAN BARAT,2017,Laut,10674
556,KALIMANTAN SELATAN,2017,Laut,63102
557,KALIMANTAN TENGAH,2017,Laut,5137
558,KALIMANTAN TIMUR,2017,Laut,22066
559,KALIMANTAN UTARA,2017,Laut,5920
560,KEPULAUAN BANGKA BELITUNG,2017,Laut,11890
561,KEPULAUAN RIAU,2017,Laut,24086
562,LAMPUNG,2017,Laut,8042
563,MALUKU,2017,Laut,52130
564,MALUKU UTARA,2017,Laut,3824
565,NUSA TENGGARA BARAT,2017,Laut,25093
566,NUSA TENGGARA TIMUR,2017,Laut,24981
567,PAPUA,2017,Laut,11007
568,PAPUA BARAT,2017,Laut,13636
569,RIAU,2017,Laut,12809
570,SULAWESI BARAT,2017,Laut,13001
571,SULAWESI SELATAN,2017,Laut,39837
572,SULAWESI TENGAH,2017,Laut,34331
573,SULAWESI TENGGARA,2017,Laut,33402
574,SULAWESI UTARA,2017,Laut,19222
575,SUMATERA BARAT,2017,Laut,11639
576,SUMATERA SELATAN,2017,Laut,2858
577,SUMATERA UTARA,2017,Laut,46415
578,ACEH,2018,Laut,20306
579,BALI,2018,Laut,13191
580,BANTEN,2018,Laut,8853
581,BENGKULU,2018,Laut,3979
